date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:14	21210/21210	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/03/cropped-img_20180119_1719553.jpg?w=300&h=237	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/03/cropped-img_20180119_17195536b8b.jpg	(from https://ambersway.com/2018/03/28/day-7-a-blog/)
17:36:16	8444/8444	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/2510e8266fc2dd69902992940ce234e0?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/2510e8266fc2dd69902992940ce234e05055.png	(from https://ambersway.com/2018/03/29/day-8-morning-edition/)
17:36:34	1675/1675	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/fa2aa4513e0f5c80c43d3b1de1caaca6?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/fa2aa4513e0f5c80c43d3b1de1caaca65055.png	(from https://ambersway.com/2018/03/29/day-8-morning-edition/)
17:36:50	105893/105893	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/03/dsc003903401656035197076267.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/03/dsc0039034016560351970762674829.jpg	(from https://ambersway.com/2018/03/30/day-9-morning/)
17:36:58	187/187	---M--	200	added ('OK')	text/plain	etag:%22599703f9-bb%22	https://1.gravatar.com/robots.txt		(from https://ambersway.com/2018/03/29/day-8-morning-edition/)
17:37:04	53486/53486	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/03/img_20180330_214324165354935.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/03/img_20180330_2143241653549354829.jpg	(from https://ambersway.com/2018/03/30/so-much-love-support/)
17:37:04	55939/55939	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/03/img_20180330_1139421028595568.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/03/img_20180330_11394210285955684829.jpg	(from https://ambersway.com/2018/03/30/so-much-love-support/)
17:37:28	1053/1053	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/f7f88c7aec96e39fb1c1d494e53f01df?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/f7f88c7aec96e39fb1c1d494e53f01df5055.png	(from https://ambersway.com/2018/03/29/day-8-late-edition/)
17:37:42	52527/52527	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/04/img_20180401_075646.jpg?w=656&h=300&crop=1	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/04/img_20180401_075646cc46.jpg	(from https://ambersway.com/2018/04/01/day-11-easter/)
17:37:51	97741/97741	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/04/img_20180401_0756461947066827.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/04/img_20180401_07564619470668274829.jpg	(from https://ambersway.com/2018/04/01/day-11-easter/)
17:37:59	2184/2184	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/f01eaefa076c2c239d02edfee13a46c4?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/f01eaefa076c2c239d02edfee13a46c45055.png	(from https://ambersway.com/2018/03/30/day-9-morning/)
17:37:59	146102/146102	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/04/img_20180403_065535813485151.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/04/img_20180403_0655358134851514829.jpg	(from https://ambersway.com/2018/04/04/day-14-my-super-hero/)
17:38:30	934/934	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/9a008f2800b770a1f26639844f13fb5b?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/9a008f2800b770a1f26639844f13fb5b5055.png	(from https://ambersway.com/2018/03/30/day-9-evening-edition/)
17:38:42	76020/76020	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/04/img_20180412_1437131732088629.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/04/img_20180412_14371317320886294829.jpg	(from https://ambersway.com/2018/04/12/day-22-snuggle-time/)
17:38:55	85851/85851	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/04/img_20180420_10491626380613076158696915.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/04/img_20180420_104916263806130761586969154829.jpg	(from https://ambersway.com/2018/04/20/day-30-getting-into-a-cycle/)
17:39:00	455/455	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/eb0c6ba01d23f01c8632ad8a5b53ce88?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/eb0c6ba01d23f01c8632ad8a5b53ce885055.png	(from https://ambersway.com/2018/03/30/so-much-love-support/)
17:39:11	280740/280740	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/04/img_20180427_114025-e1524883278961.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/04/img_20180427_114025-e15248832789614829.jpg	(from https://ambersway.com/2018/04/27/day-37-superhero-day/)
17:39:31	934/934	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/e0f6e0e1ac0e5fb6c253558eada2a627?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/e0f6e0e1ac0e5fb6c253558eada2a6275055.png	(from https://ambersway.com/2018/03/30/father-charlie-a-blessed/)
